A Fungus, Hydnellum Dragon, 16 hours
Blue Odyssey, Celerulean Dragon, 16 hours
Blues Chase, Zaffer Dragon, 8 hours
Bolt Buffet, Thunderbird Dragon, 8 hours
Book Of Evil, Grimoire Dragon, 8 hours
Boreal Brink, Aurora Dragon, 16 hours
Boss Stage, Dungeon Dragon, 2 hours
Bounceback Bluff, Lightning Rift Dragon, 8 hours
Bouncy, PonkiPong Dragon, 8 hours
Bounding Around, Bounteous Dragon, 8 hours
Brash Bargaining, Begonia Dragon, 16 hours
Brave New Vale, Valor Dragon, 16 hours
Breeze Floating, Dandelion Dragon, 8 hours
Bring It On!, Ruckus Dragon, 16 hours
Broken Ice Shelf, Iceberg Dragon, 2 hours
Brow Mountain, Conifer Dragon, 8 hours
Brume Bluff, Wisp Dragon, 8 hours
Bryophyte Plight, Moss Dragon, 2 hours
Budding Bayou, Sprout Dragon, 16 hours
Bug-eyed Bloom, Kroki Dragon, 8 hours
Bullish Tendencies, Auroch Dragon, 8 hours
Burcadian Hooray, Tansy Dragon, 16 hours
Cadberry Wells, Rosebud Dragon, 8 hours
Calcified Crusade, Bonescale Dragon, 8 hours
Camping Trip, Scout Dragon, 16 hours
Canary's Revenge, Ghostly Coal Dragon, 8 hours
Cancelling the Apocalypse, Kaiju Dragon, 16 hours
Cape Calm, Serenity Dragon, 16 hours
Carat Coulee, Gold Dragon, 16 hours
Carbon Craze, Diamond Dragon, 16 hours
Catacombs of Ulmek, Jade Dragon, 16 hours
Caught in the Crimson Sea, Shimmer Dragon, 2 hours
Cauldron Canyon, Soot Dragon, 8 hours
Cave of Caroling, Twinkle Dragon, 16 hours
Cave of Wanderers, Djinni Dragon, 16 hours
Caves of Ramora, Glare Dragon, 2 hours
Celebratory Expedition, Party Dragon, 16 hours
Celestial Duality, Andromedan Dragon, 16 hours
Celestial Rarity, Sorarian Dragon, 16 hours
Centrifuge, Pisceian Dragon, 16 hours
Chaotic Encounter, Fire Rift Dragon, 8 hours
Charged Assumptions, Fulgurite Dragon, 8 hours
Charisma Chasm, Magnetic Dragon, 2 hours
Checking it Twice, Kringle Dragon, 8 hours
Cheelei's Cove, Pepper Dragon, 8 hours
Chilly Shellebration, Coldcoil Dragon, 16 hours
Chione Chasm, Snowy Bronze Dragon, 16 hours
Chione Climb, Snowy Silver Dragon, 16 hours
Chione Peaks, Snowy Gold Dragon, 16 hours
Chiseled Cliffs, Mountain Sun Dragon, 8 hours
Chroma Chasm, Iridescent Dragon, 8 hours
Chromatic Cave, Chromacorn Dragon, 16 hours
Clamps, Cansian Dragon, 16 hours
Claws of Steel, Vaul Dragon, 8 hours
Clinch Location, Vipera Dragon, 8 hours
Close Shave, Bearded Dragon, 8 hours
Cloud Striker, Thunderbolt Dragon, 16 hours
Clouds of Garita, Snowpocalypse Dragon, 16 hours
Cold Light Chase, Firefly Dragon, 2 hours
Cold Sweat, Fever Dragon, 8 hours
Colorless Chasm, Barite Dragon, 16 hours
Colourful Ride, Arcrider Dragon, 8 hours
Come-bust-out Some Moves, Combustion Dragon, 8 hours
Composed Conquest, Charlatan Dragon, 16 hours
Concentrated Fire Magic, Infrared Dragon, 8 hours
Conductive Conundrum, Copper Dragon, 2 hours
Confabulated Confectionary, Ortreat Dragon, 8 hours
Conflagration Course, Ember Dragon, 2 hours
Conspiracy Bluff, Jetstream Dragon, 8 hours
Copse Consternation, Forest Dragon, 8 hours
Corn Maze, Teozinte Dragon, 8 hours
Corrosion Excursion, Rust Dragon, 2 hours
Corrosive Crater, Acid Dragon, 2 hours
Covert Galantry, Darcowl Dragon, 8 hours
Creeper Keeper, Crypt Dragon, 2 hours
Creeping Charlie, Hedera Dragon, 16 hours
Creeping In, Void Dragon, 8 hours
Creepy Crawler, Chitin Dragon, 8 hours
Crimson Canyon, Garnet Dragon, 16 hours
Crop Security, Sow Dragon, 8 hours
Crystal Clear Chasm, Quartz Dragon, 16 hours
Curious Explorer, Burrow Dragon, 8 hours
D for Delici(ous), Delicia Dragon, 16 hours
Daffadowndilly's Cousin, Narcis Dragon, 16 hours
Daily Lily, Daylily Dragon, 8 hours
Dante's Dungeon, Inferno Dragon, 8 hours
Dappled Tale, Marbletail Dragon, 16 hours
Dare Devil, Fuefuego Dragon, 8 hours
Dark Side of the Moon, Prism Dragon, 16 hours
Daylight Deprivation, Rotblossom Dragon, 8 hours
Death Defying, Macabre Dragon, 16 hours
Debunking Spelunking, Fluorescent Dragon, 8 hours
Deep Slumber, Glyph Dragon, 16 hours
Delightfully Disguised, Morpho Dragon, 16 hours
Den Development, Oni Dragon, 8 hours
Depression Secession, Cyclamen Dragon, 16 hours
Desert Duds, Arid Dragon, 8 hours
Diggy Diggy Hole, Diggy Dragon, 16 hours
Divine Starshine, Nova Dragon, 16 hours
Divine Vine, Thicket Dragon, 8 hours
Do You See What Icy, Clairvoyant Dragon, 8 hours
Doily Dash, Lace Dragon, 16 hours
Dolphins Of The Sky, Lazuli Dragon, 16 hours
Doublehue Ditch, Double Rainbow Dragon, 16 hours
Doubley Alloyed, Brass Dragon, 2 hours
Down Falls, Ruin Dragon, 2 hours
Down Underground, Cave Dragon, 2 hours
Down With Dissonance, Harmony Dragon, 16 hours
Dragon Dragon, Dargon Dragon, 8 hours
Dramorian Delve, Mine Dragon, 2 hours
Drape Escape, Satin Dragon, 8 hours
Dreamcatcher, Lightmare Dragon, 16 hours
Duality, Brutiful Dragon, 16 hours
Dune Diving, Sandscale Dragon, 8 hours
Dungeon of Distractions, Moonstruck Dragon, 16 hours
Dust Storm, Khamsin Dragon, 8 hours
Ebenezer's Enemy, Ghostly Kringle Dragon, 8 hours
Efflorescent Expedition, Bloom Dragon, 8 hours
Eggstraordinary Eggventure, Yolkwing Dragon, 8 hours
Electric Shuffle, Techno Dragon, 16 hours
Eliyse's Clearing, Meadow Dragon, 2 hours
emiT hguorhT pirT A, Soriak Dragon, 8 hours
Enamel Upgrade, Porcelain Dragon, 8 hours
Enrichment En Masse, Avarice Dragon, 16 hours
Enveloping Darkness, Umbra Dragon, 16 hours
Ephemeral Spire, Steam Dragon, 8 hours
Escapades on Ice, Shiver Dragon, 16 hours
Event Horizon, Singularity Dragon, 16 hours
Everflowering Fields, Glowwing Dragon, 16 hours
Exceptional Endeavor, Portent Dragon, 16 hours
Experienced Piscator, Chimmit Dragon, 8 hours
Expert of the Wild, Wilderness Dragon, 16 hours
Explosions in the Sky, Firework Dragon, 8 hours
Extinction Exodus, Trilobite Dragon, 16 hours
Extre Extre Endeavor, Herald Dragon, 16 hours
Fair is Fair, Faire Dragon, 8 hours
Falling for You, Frons Dragon, 16 hours
Family Time, Brood Dragon, 8 hours
Fancy Feet, Sugarplum Dragon, 16 hours
Far-off Travels, Venture Dragon, 16 hours
Fear & Figments, Phantom Dragon, 2 hours
Fearsome Fruits, Berry Dragon, 16 hours
Feast or Famine, Scourge Dragon, 16 hours
Field of Shrooms, Spore Dragon, 8 hours
Fields of Achoo, Pollen Dragon, 2 hours
Fiercely Frosted, Jadice Dragon, 16 hours
Fiery Forage, Blazing Dragon, 2 hours
Fight or Fight, Dodo Dragon, 8 hours
Filigree Falls, Lacewing Dragon, 16 hours
Final Fever, Delirium Dragon, 16 hours
Fire Hazard, Ariesian Dragon, 16 hours
Five Score Frenzy, Century Dragon, 8 hours
Flame and Flicker, Flickerflame Dragon, 8 hours
Flaming Starscape, Antarian Dragon, 16 hours
Flash Freeze, Ice Dragon, 2 hours
Flaunting Flair, Snootroot Dragon, 8 hours
Fleetly Flittering, Dartwing Dragon, 8 hours
Flip the Switch, Moriante Dragon, 16 hours
Floral Flight, Bouquet Dragon, 8 hours
Floral Quarrel, Flower Dragon, 2 hours
Flower Power, Bellflower Dragon, 8 hours
Flowing Riffs, Drifter Dragon, 8 hours
Fluff Bluff, Frostfluff Dragon, 8 hours
Fluffy Jewel, Buttercup Dragon, 8 hours
Flying The Friendly Skies, Davinese Dragon, 8 hours
Foot Drill, Trepak Dragon, 16 hours
Forage in the Great Forest, Seed Dragon, 16 hours
Forever Wrapped, Ghostly Gift Dragon, 8 hours
Forgotten Fuels, Coal Dragon, 8 hours
Formidable Force, Quantum Dragon, 8 hours
Fossil Folly, Amber Dragon, 16 hours
Fractal Fever, Crystal Dragon, 2 hours
Free Real Estate, Igluit Dragon, 16 hours
Free Shell Estate, Scuttle Dragon, 8 hours
Freezey Chaos, Cold Rift Dragon, 8 hours
Freezey-Cold Flight, Permafrost Dragon, 8 hours
Frequent Flier, Dittoglide Dragon, 16 hours
From the Great Beyond, Nox Dragon, 8 hours
Fruitful Feat, Harvest Dragon, 8 hours
Fulgent Foray, Dazzling Dragon, 16 hours
Furious Flurry, Snow Dragon, 2 hours
Fury's Foray, Shield Dragon, 8 hours
Garden Warden, Arbor Dragon, 8 hours
Gardenia's Grace, Garden Dragon, 8 hours
Gargantuan Grasslands, Plains Dragon, 8 hours
Gaznul Gulch, Wraith Dragon, 2 hours
Gelndun Gutter, Nightmare Dragon, 16 hours
Gerias Gauntlet, Azurite Dragon, 16 hours
Gerias Mines, Amethyst Dragon, 16 hours
Getaway Stick, Ahoy Dragon, 8 hours
Getting Lost, Maze Dragon, 8 hours
Gilded Wonder, Vanguard Dragon, 8 hours
Giving Gulch, Gift Dragon, 8 hours
Glacial Dig, Icy Torrent Dragon, 8 hours
Glimmer Grotto, Flicker Dragon, 16 hours
Glimmering Gorge, Glimmerwing Dragon, 16 hours
Glitter Glen, Scarab Dragon, 16 hours
Globe Trot, Terradiem Dragon, 8 hours
Glochid Grounds, Cactus Dragon, 2 hours
Glow 'n' Go, Surge Dragon, 8 hours
Glowing Descent, Candescent Dragon, 8 hours
Glowing Gulch, Luminous Dragon, 2 hours
Go Green Every Day, Curlyleaf Dragon, 16 hours
Gold Detector, Trove Dragon, 16 hours
Golden Foolery, Pyrite Dragon, 16 hours
Golden-brown Feathers, Huddle Dragon, 8 hours
Gone Caroling, Sleighbell Dragon, 8 hours
Good Mawning, Maw Dragon, 8 hours
Grand Entrance, Elegant Dragon, 16 hours
Gravel Gathering, Gargoyle Dragon, 8 hours
Gravity Falls, Gravity Dragon, 16 hours
Green Hill Havoc, Sonic Dragon, 2 hours
Green-eyed Guide, Scorn Dragon, 16 hours
Group Hug, Lumineux Dragon, 8 hours
Grumpy Wumpy, Greenge Dragon, 16 hours
Gulf of the Guardian, Watch Dragon, 2 hours
Gulping Gully, Swallowtail Dragon, 16 hours
Half-light Hunt, Dusk Dragon, 16 hours
Hall of Halitosis, Cerberus Dragon, 16 hours
Hall of Hedera, Ivy Dragon, 8 hours
Hall of the Ice Kings, Blizzard Dragon, 2 hours
Hanging In There, Dracabra Dragon, 8 hours
Hares Everywhere, Ketu Dragon, 8 hours
Head in the Clouds, Cumulus Dragon, 16 hours
Hearing Intensifies, Oaris Dragon, 8 hours
Heart of Roses, Glassia Dragon, 16 hours
Heart Of The Swamp, Etch Dragon, 8 hours
Heartbreak Hold, Love Dragon, 8 hours
Heat Wave Havoc, Radiant Dragon, 2 hours
Heavy Petal, Peoni Dragon, 8 hours
Hemisphere Mutineer, Equinox Dragon, 16 hours
Hemisphere Pioneer, Seasonal Dragon, 16 hours
Herculean Effort, Gold Olympus Dragon, 16 hours
Hide & Seek, Leathery Dragon, 8 hours
Hiding Like Snowbody's Business, Snowball Dragon, 16 hours
High Noon Rune, Midday Dragon, 16 hours
Highlands Havoc, Lagoon Dragon, 8 hours
Hip and Hop, Wolper Dragon, 8 hours
Hive Mind, Busby Dragon, 16 Hours
Holistic Hope, Silverline Dragon, 8 hours
Home Sweet Horror, Ghostly Oni Dragon, 8 hours
Hop to It, Bilby Dragon, 8 hours
Hot Air Hullabaloo, Fireflight Dragon, 8 hours
Howdy, Country Dragon, 16 hours
Howling Hunt, Lycan Dragon, 8 hours
Huggie Snuggie, Fluffles Dragon, 8 hours
Hypersonic Frolic, Comet Dragon, 16 hours
Hysterical Hype, Razzle Dragon, 16 hours
I Am Root!, Karroot Dragon, 16 Hours
Ice Change, Nature Dragon, 8 hours
Iceberry Gobbling, Krampus Dragon, 8 hours
Icebitten, Frostbite Dragon, 8 hours
Icy Encounters, Icebound Dragon, 8 hours
Ignite the Sky, Ignis Dragon, 16 hours
Igniting the Fireworks, Yanghis Dragon, 16 hours
Immunity Proclivity, Serket Dragon, 16 hours
Inception Misconception, Fury Dragon, 16 hours
Infinite Loop, Ouroboros Dragon, 16 hours
Infinite Regression, Nesting Dragon, 8 hours
Ink-redible Experience, Atramento Dragon, 16 hours
Inky Heights, Sumi Dragon, 16 hours
Insightful, Ocular Dragon, 16 hours
Intercalary Anarchy, Leap Year Dragon, 16 hours
Interesting Interest, Redbeard Dragon, 16 hours
Into the Bushes, Tinsel Dragon, 16 hours
Intuitive Innovation, Brilliant Dragon, 8 hours
Ionized Guise, Plasma Dragon, 8 hours
Iron Will, Iron Dragon, 2 hours
Island of Illusions, Dream Dragon, 16 hours
Isle of Indignation, Ire Dragon, 16 hours
It Came From the Clouds, Flurry Dragon, 8 hours
It Comes In Makeshift Boat, Canna Dragon, 8 hours
It's Real Glass, Glasswing Dragon, 16 hours
Itsy Bitesy, Vampir Dragon, 8 hours
Jingle Jangle, Festive Dragon, 16 hours
Jubilee Spree, Carnival Dragon, 8 hours
Juicy Joy, Monte Dragon, 16 hours
Jungle Juggle, Binky Dragon, 16 hours
Just Right Gauntlet, Frostflower Dragon, 8 hours
Kamgwa Karst, Tidal Dragon, 8 hours
Keepsake Cavern, Trinket Dragon, 8 hours
Kelpy Corrale, Coral Dragon, 2 hours
Khorasan Kame, Turquoise Dragon, 16 hours
King Of The Sea, Zilla Dragon, 8 hours
Knots for Naught, Celtic Dragon, 16 hours
Koo Hill Trek, Orchid Dragon, 8 hours
Lake of the Abyss, Lacuna Dragon, 8 hours
Laki Chasm, Fissure Dragon, 8 hours
Land of the Unsweetened, Ghostly Decay Dragon, 8 hours
Land Without Candy, Decay Dragon, 8 hours
Lantern Deeps, Abyss Dragon, 2 hours
Laurel Lament, Garland Dragon, 8 hours
Left Turn Lagoon, Steel Dragon, 2 hours
Lerner's Toyshop, Bronze Dragon, 16 hours
Let It Snow, Elkar Dragon, 8 hours
Let's See This Through, Kwall Dragon, 8 hours
Lever Physics, Chaiko Dragon, 8 hours
Leviathan Caverns, Hydra Dragon, 16 hours
Libra Lark, Tourmaline Dragon, 16 hours
Light Up, Lightmatter Dragon, 16 hours
Lighting the Rift, Alpenglow Dragon, 8 hours
Lignite Night, Jet Dragon, 16 hours
Likely a Lich, Ghostly Lichen Dragon, 2 hours
Log in the Fog, Bog Dragon, 8 hours
Lord of the Fjords, Verglace Dragon, 16 hours
Loud and Unclear, Quaa Dragon, 8 hours
Lovely Cuisine, Nomnoter Dragon, 8 hours
Lovestruck, Cupido Dragon, 16 hours
Luck in the Muck, Mud Dragon, 2 hours
Lucky Day, Luck Dragon, 16 hours
Lunar Blues, Blue Moon Dragon, 16 hours
Lunar Lunacy, Moon Dragon, 16 hours
Macabre Marrow, Ghostly Bone Dragon, 8 hours
Madcap Muskeg, Swamp Dragon, 2 hours
Magnet Junket, Lodestone Dragon, 8 hours
Malediction, Curse Dragon, 16 hours
Mammu's Bargain, Cumberpatch Dragon, 16 hours
Manic Antics, Delight Dragon, 16 hours
Map to the Stars, Starwing Dragon, 16 hours
Marigold Moon, Harvest Moon Dragon, 16 hours
Maritime Mission, Limulimu Dragon, 8 hours
Master Key, Keyper Dragon, 8 hours
Mega Metamorphosis, Chrysalis Dragon, 16 hours
Megastellar Mission, Rayleian Dragon, 16 hours
Memories of Winter, Reminiscence Dragon, 16 hours
Mercurial Madness, Quicksilver Dragon, 2 hours
Mesmeric Mausoleum, Hypnotic Dragon, 2 hours
Miasma Menace, Fog Dragon, 2 hours
Mind Over Matter, Psyche Dragon, 8 hours
Mineral Mire, Mesolite Dragon, 16 hours
Misadventure Time, Misfortune Dragon, 16 hours
Misfortune Marsh, Clover Dragon, 8 hours
Mogok Mania, Ruby Dragon, 16 hours
Mollusca Marina, Conch Dragon, 8 hours
Molten Motive, Lava Dragon, 2 hours
Monster Mimicry, Faux Dragon, 16 hours
Moonlit Garden, Tulip Dragon, 16 hours
Morbid Molten Motive, Ghostly Lava Dragon, 2 hours
Mort's Moratorium, Stoneheart Dragon, 16 hours
Mosh Pit, Punk Dragon, 16 hours
Murphy's Ode, Nebula Dragon, 16 hours
Nadia's Nursery, Rose Dragon, 8 hours
Neverblue Woods, Evergreen Dragon, 2 hours
Nevermore Cavern, Spectre Dragon, 8 hours
New Year Flight, Neoteric Dragon, 8 hours
Nib Nursery, Cocoahollow Dragon, 8 hours
Nice and Cozy, Sugarmitten Dragon, 8 hours
Night Flight, Nightbloom Dragon, 16 hours
Nimble Narrows, Nimbus Dragon, 8 hours
No Salt Here, Saccharine Dragon, 16 hours
Noble Peril, Palladium Dragon, 2 hours
Noisy Neighbour, Malefice Dragon, 8 hours
Nope Rope, Funis Dragon, 8 hours
Nor'easter Beaster, Regift Dragon, 8 hours
Nori Cove, Seaweed Dragon, 2 hours
Northern Chills, Arctic Dragon, 8 hours
Not a Grump Nor a Heel, Burglehoo Dragon, 16 hours
Noxious Nuzzles, Okenite Dragon, 16 hours
Oceanic Portals, Water Rift Dragon, 8 hours
Odin's Pride, Sparkles Dragon, 8 hours
Olivine's Ordeal, Peridot Dragon, 16 hours
Olympian Struggle, Bronze Olympus Dragon, 16 hours
One For All, Bastion Dragon, 8 hours
One Prickly Pear, Razortail Dragon, 8 hours
Opalescent Operation, Opal Dragon, 16 hours
Overly Attached, Smitten Dragon, 16 hours
Painted Hills, Spritely Dragon, 16 hours
Paired Pulsars, Bizurian Dragon, 16 hours
Palagos Islands, Frostfire Dragon, 8 hours
Pan Galactic Gargle, Arcturian Dragon, 16 hours
Pancake Plunder, Nether Dragon, 8 hours
Pandora's Box, Ghostly Trinket Dragon, 8 hours
Paradise Palisade, Halo Dragon, 8 hours
Partner In Crime, Entwined Dragon, 16 hours
Partners in Magic, Prestina Dragon, 16 hours
Passage of Prophecy, Oracle Dragon, 16 hours
Perfectly Balanced, Brizoni Dragon, 8 hours
Phantasm Adrift, Ghast Dragon, 8 hours
Phantasm Chasm, Mirage Dragon, 8 hours
Philosopher's Dragon, Pond Dragon, 16 hours
Phoenix Edict, Ash Dragon, 2 hours
Photosynthetic Folly, Leaf Dragon, 16 hours
Pi Roh's Paradise, Blazing Gale Dragon, 8 hours
Picnic Time, Pouke Dragon, 16 hours
Pillar of Autumn, Fomhar Dragon, 16 hours
Pincer Power, Antumbra Dragon, 8 hours
Plaaaaaaaaains, Zombie Dragon, 16 hours
Plot Twist, Prestige Dragon, 16 hours
Plunder Strike, Thunder Dragon, 2 hours
Plunder Thunder, Loot Dragon, 16 hours
Polaris Plummet, Polarian Dragon, 16 hours
Poltergeist Heist, Ghost Dragon, 8 hours
Poltergeist Pine, Ghostly Evergreen Dragon, 2 hours
Polyhue Palms, Rainbow Dragon, 16 hours
Port Enthusiast, Aperture Dragon, 8 hours
Posh and Glamorous, Poshwing Dragon, 8 hours
Power Overwhelming, Abraxas Dragon, 8 hours
Powerful Presence, Hyperion Dragon, 16 hours
Preserved In Time, Lyuba Dragon, 8 hours
Pretty Power, Pearlescent Dragon, 16 hours
Prophetic Pursuit, Apocalypse Dragon, 16 hours
Prowess Immeasurable, Solarflare Dragon, 16 hours
Pumpermelon Imposter, Plumpkin Dragon, 8 hours
Pumpermelon Pull, Ironwrought Dragon, 8 hours
Pumping Metal, Lunk Dragon, 8 hours
Pumpkin Patch, Gourd Dragon, 8 hours
Purple Royale, Aubergine Dragon, 16 hours
Pursuit of Love, Pricklefluff Dragon, 8 hours
Putrid Plunge, Sulfur Dragon, 8 hours
Questionable Heights, Air Rift Dragon, 8 hours
Quite the Appetite, Gulletail Dragon, 16 hours
Raining Presents, Jamjam Dragon, 8 hours
Ray of Rage, Gamma Dragon, 2 hours
Razor Ramble, Bramble Dragon, 8 hours
Reaching For The Scarlet Moon, Iden Dragon, 16 hours
Reef Research, Humuhumu Dragon, 8 hours
Refraction Extraction, Bismuth Dragon, 16 hours
Remember November, Topaz Dragon, 16 hours
Resolute Ritual, Hakahaka Dragon, 8 hours
Retrieve & Retreat, Labradorite Dragon, 16 hours
Reverie Quarry, Daydream Dragon, 16 hours
Ribgate, Dortal Dragon, 8 hours
Riddle Rabble, Iron Blossom Dragon, 8 hours
Ride Eternal, Chrome Dragon, 2 hours
Riff Master, Heavy Metal Dragon, 16 hours
Rift Fire Mire, Promethium Dragon, 2 hours
Rift Innovations, Plant Rift Dragon, 8 hours
Righteous Relaxation, Frond Dragon, 8 hours
Ringing Wrangle, Jingle Dragon, 8 hours
Riptide Rush, Manomano Dragon, 8 hours
Rock the Boat, Euryale Dragon, 8 hours
Rocky Horror Tincture Show, Ghostly Poison Dragon, 2 hours
Roll For Initiative, Exandrew Dragon, 8 hours
Rolling and Rollicking, Sprite Dragon, 16 hours
Rolling in the Waves, Spinky Dragon, 8 hours
Rootmoot, Tree Dragon, 2 hours
Rorrim Rock, Mirror Dragon, 8 hours
Rosa Rubiginosa, Divi Dragon, 8 hours
Royal Presence, Orlena Dragon, 8 hours
Rudna's Rollick, Silver Dragon, 16 hours
Ruins of War, Barbarous Dragon, 16 hours
Run Through the Vines, Woodvine Dragon, 8 hours
Runic River, Stygian Dragon, 16 hours
Sail The High Seas, Yarr Dragon, 16 hours
Sandakloz's Surprise, Reindeer Dragon, 8 hours
Sandara's Sojourn, Sand Dragon, 2 hours
Sandy Canyon, Quicksand Dragon, 8 hours
Scalding Stretch, Scorch Dragon, 2 hours
Scaredy Cave, Voltaic Dragon, 8 hours
Scarlet Sprint, Flash Dragon, 2 hours
Scene Maker, Vibe Dragon, 16 hours
Scorched Ice, Blue Fire Dragon, 8 hours
Sea You Later, Mylio Dragon, 8 hours
Seaside Shellslide, Honuhonu Dragon, 8 hours
Sediment Impediment, Geode Dragon, 8 hours
Seeking Thrills, Corsair Dragon, 16 hours
Seismic Trick, Quake Dragon, 2 hours
Serpent of the Sea, Valeodon Dragon, 8 hours
Serpentine Point, Ragnarok Dragon, 16 hours
Setse Sighting, Shining Dragon, 8 hours
Shaded Shelter, Sunscorch Dragon, 8 hours
Shadowy Visitor, Kage Dragon, 16 hours
Sharp Insights, Tusk Dragon, 16 hours
Sharply Appointed, Rhinotorch Dragon, 16 hours
Shell Scheme, Ovalith Dragon, 16 hours
Shi Nee's Saga, Molten Dragon, 8 hours
Shimmering Slough, Pearl Dragon, 16 hours
Shine On, Starshine Dragon, 16 hours
Shiny Start, Plumewing Dragon, 8 hours
Shock and Aww, Surprise Dragon, 16 hours
Shock Rock, Spark Dragon, 2 hours
Shocked and Rattled, Shockproof Dragon, 8 hours
Shocked and Shaken, Bouldershock Dragon, 8 hours
Shrouded in Mystery, Eldritch Dragon, 8 hours
Sickengen's Den, Platinum Dragon, 16 hours
Sights Unseen, Cyclops Dragon, 16 hours
Silica Valley, Glass Dragon, 2 hours
Silverfalls Gorge, Eve Dragon, 16 hours
Silvery Peaks, Silver Olympus Dragon, 16 hours
Six-Fingered Lake, Bogberry Dragon, 16 hours
Skeletal Pedestal, Bone Dragon, 8 hours
Sleigh Ride, Ornamental Dragon, 16 hours
Slippery Companion, Enfis Dragon, 16 hours
Slither Hither, Kann Dragon, 16 hours
Slow & Steady, Snapper Dragon, 8 hours
Slow Show, Grove Dragon, 8 hours
Slow-Moving Summit, Plateau Dragon, 16 hours
Smash Valley, Malachite Dragon, 8 hours
Smithy Snafu, Forge Dragon, 2 hours
Smog Bog, Miasma Dragon, 2 hours
Smoke on the Boulder, Smolder Dragon, 8 hours
Snap Back, Crawler Dragon, 8 hours
Snap Back to Reality, Mesmer Dragon, 16 hours
Snooze No More, Snooz Dragon, 16 hours
Snoring, Lullaby Dragon, 16 hours
Snow Day, Thundersnow Dragon, 8 hours
Snowdrift Dive, Snowbrush Dragon, 8 hours
Soaring Heights, Seraph Dragon, 8 hours
Sol Strike, Sunstruck Dragon, 16 hours
Solar Controller, Sun Dragon, 16 hours
Solo Summit, Mountain Dragon, 2 hours
Something Catchy, Angler Dragon, 16 hours
Song Of The Siren, Alure Dragon, 16 hours
Sonoluminescence, Spectrapod Dragon, 16 hours
Soothing Waters, Infernus Dragon, 8 hours
Spark in the Dark, Hidden Bolt Dragon, 8 hours
Sparkflow Connection, Current Dragon, 8 hours
Sparkle Startle, Glitz Dragon, 16 hours
Speckled Spelunking, Jasper Dragon, 16 hours
